id_pedido,fecha_solicitud,id_cliente,peso,volumen,fecha_entrega
450000011,2024-10-24,C0000270,148.01,0.7726,2024-10-25
450000054,2024-03-04,C0000179,107.93,0.5958,2024-03-05
450000061,2023-06-24,C0000269,25.93,0.2007,2023-06-26
450000068,2025-04-19,C0000226,133.83,0.8190,2025-04-20
450000125,2023-12-26,C0000241,99.62,0.5200,2023-12-27
450000142,2023-01-26,C0000164,62.96,0.2682,2023-01-28
450000143,2023-06-17,C0000123,78.23,0.3567,2023-06-19
450000155,2024-08-23,C0000241,116.04,0.5639,2024-08-24
450000207,2024-06-06,C0000062,60.94,0.2669,2024-06-07
450000287,2023-08-05,C0000263,127.18,0.7402,2023-08-06
450000295,2023-03-05,C0000243,131.72,0.7271,2023-03-07
450000313,2024-12-20,C0000286,72.81,0.4631,2024-12-22
450000316,2023-01-06,C0000011,122.51,0.6836,2023-01-07
450000374,2023-09-09,C0000265,12.26,0.0633,2023-09-12
450000403,2025-04-27,C0000296,9.06,0.0511,2025-04-29
450000410,2023-02-20,C0000130,76.02,0.5428,2023-02-21
450000411,2024-06-20,C0000271,131.20,0.7951,2024-06-21
450000431,2024-08-20,C0000181,19.92,0.3036,2024-08-22
450000470,2024-03-17,C0000183,73.80,0.4384,2024-03-18
450000615,2024-12-06,C0000029,77.10,0.9987,2024-12-07
450000620,2024-07-18,C0000248,103.18,0.4705,2024-07-20
450000635,2023-07-16,C0000115,90.44,0.4450,2023-07-18
450000656,2024-10-14,C0000055,141.51,0.9255,2024-10-16
450000665,2024-08-10,C0000260,65.45,0.4477,2024-08-12
450000680,2025-02-20,C0000266,27.70,0.1363,2025-02-22
450000683,2023-09-18,C0000137,44.76,0.2820,2023-09-19
450000691,2024-02-21,C0000062,114.38,0.6863,2024-02-22
450000721,2023-03-11,C0000280,16.65,0.0969,2023-03-13
450000757,2025-05-27,C0000028,19.72,0.1230,2025-05-28
450000780,2023-11-10,C0000241,144.15,1.0552,2023-11-11
450000814,2024-12-11,C0000245,88.21,0.6086,2024-12-12
450000830,2023-12-04,C0000101,46.94,0.2338,2023-12-05
450000876,2025-01-25,C0000117,103.97,0.6550,2025-01-27
450000878,2025-02-17,C0000242,31.57,0.4660,2025-02-19
450000915,2023-07-21,C0000243,9.82,0.0760,2023-07-22
450000920,2024-01-12,C0000069,17.18,0.0845,2024-01-20
450000922,2025-01-22,C0000051,7.04,0.0456,2025-01-24
450000926,2023-07-26,C0000280,19.53,0.1512,2023-07-28
450000935,2023-11-12,C0000266,19.40,0.0989,2023-11-13
450000942,2025-05-07,C0000193,7.67,0.0594,2025-05-08
450000999,2025-03-11,C0000244,13.69,0.1027,2025-03-13
450001019,2024-01-01,C0000131,140.85,0.6676,2024-01-02
450001034,2025-03-24,C0000234,12.34,0.1384,2025-03-26
450001043,2024-07-15,C0000290,18.06,0.1181,2024-07-17
450001058,2025-02-18,C0000259,162.67,1.1712,2025-02-19
450001070,2023-12-31,C0000241,119.67,0.9190,2024-01-02
450001082,2023-10-27,C0000226,116.65,0.6439,2023-10-28
450001088,2024-05-13,C0000254,144.14,0.7178,2024-05-15
450001103,2023-04-23,C0000108,43.34,0.2002,2023-04-25
450001110,2024-05-16,C0000219,56.87,0.3856,2024-05-17
450001134,2023-01-20,C0000100,56.03,0.2689,2023-01-22
